

凤凰电影,#genre#
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8$官网
东森电影,http://iptv.4666888.xyz/iptv2A.php?id=48

中国电影,http://iptv.4666888.xyz/iptv2A.php?id=61
欧亚剧场,http://iptv.4666888.xyz/iptv2A.php?id=42
东天电影,http://iptv.4666888.xyz/iptv2A.php?id=56
数码数字电影,http://iptv.4666888.xyz/iptv2A.php?id=54
龙华电影,http://iptv.4666888.xyz/iptv2A.php?id=45
龙华动画,http://iptv.4666888.xyz/iptv2A.php?id=60
惊悚电影,http://iptv.4666888.xyz/iptv2A.php?id=59
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
玉兰花,https://cdn6.163189.xyz/163189/amlh

霹雳雷霆电影  http://rihou.cc:555/tv/霹雳雷霆
美亚电影,http://rihou.cc:555/tv/美亚电影

NOW爆谷,http://rihou.cc:555/tv/爆谷台
NOW星影,http://rihou.cc:555/tv/星影台
PopC电影,http://gat.xyys.site/cdnlive.php?mode=play;id=72c5e8ed98e857b3a31a5103a22bb938;token=CADtQqrhvJcKnfMGNgqMrhDsYuV86aY7
天映频道,http://o11.163189.xyz/stream/live/typd/
天映经典,http://o11.163189.xyz/stream/live/ccm/
kix,https://liveh34.vtvprime.vn/hls/KIX/04.m3u8

数码数字电影  http://rihou.cc:555/tv/数码数字电影
东森电影 http://rihou.cc:555/tv/东森电影
东森动画 http://rihou.cc:555/tv/东森动画

金光布袋戏,http://o11.163189.xyz/stream/live/jgbdx/
龙华时代  http://rihou.cc:555/tv/龙华时代
龙华电影


AXNTaiwan
CINEMAX

豹鹰电影,http://221.7.175.154:8445/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$西北/联通
豹鹰电影,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$浙江/绍兴/电信

九洲电影,http://118.122.144.115:8888/newlive/live/hls/32/live.m3u8$四川电信酒店
九洲电影,http://183.220.20.17:4321/udp/239.11.0.11:5140$四川移动
湖南电影,http://218.77.84.102:85/tsfile/live/149/2005_1.m3u8?key=txiptv
河南乡村,http://zmgd.zyrnet.com:8888/hls/28/index.m3u8
重庆经典,http://rihou.cc:555/tv/重庆经典
新视觉HD,http://221.7.49.226:50085/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0
新视觉HD,http://gat.bkpcp.top/ymg.php?id=mlzq
新视觉HD,http://t.061899.xyz/tl/dq.php?id=mlzq
华数电影,http://hmfs.f3322.net:3388/hls/40/index.m3u8
中南生活,http://zmgd.zyrnet.com:8888/hls/20/index.m3u8$成都/移动酒店
小姿电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
小姿喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
小姿动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
小姿欢乐,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
4GTV,#genre#
中天新闻台,http://4gtv.cnlive.club/channel/n4da4274/index.m3u8?q=1782639885837
中天新闻二台,http://4gtv.cnlive.club/channel/n37458587/index.m3u8?q=1782639885837
三立国际台,http://4gtv.cnlive.club/channel/351c8485/index.m3u8?q=1782639885837
中国新闻台,http://4gtv.cnlive.club/channel/3824d067/index.m3u8?q=1782639885837
中视新闻,http://4gtv.cnlive.club/channel/7e6461d6/index.m3u8?q=1782639885837
TVBS,http://4gtv.cnlive.club/channel/58f128b2/index.m3u8?q=1782639885837
TVBS欢乐台,http://4gtv.cnlive.club/channel/49342c47/index.m3u8?q=1782639885837
