央视,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
央视蓝光,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
卫视蓝光,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
地方台,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
咪咕央视蓝光,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
咪咕央视,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
咪咕央视蓝光2,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
港澳台直播,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
香港电视台IPV6蓝光,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
台湾电视台IPV6蓝光,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
澳门直播,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
全球直播蓝光,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
影视轮播,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
电视剧轮播,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
CINEMAX,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
4GTV,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
虎牙一起看,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
影音剧场,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
IPV4蓝光线路,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://61.184.23.227:1234/608807420
IPV6蓝光线路,#genre#
CCTV1综合,http://116.147.111.62:7788/608807420
